(Base 2012=100)
Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2013,January,ALL India,,,Consumer Food Price Index,105.3,105.6,105.4,F,
2013,February,ALL India,,,Consumer Food Price Index,106.2,106.9,106.4,F,
2013,March,ALL India,,,Consumer Food Price Index,106.4,106.8,106.5,F,
2013,April,ALL India,,,Consumer Food Price Index,106.9,108.5,107.5,F,
2013,May,ALL India,,,Consumer Food Price Index,107.9,111.1,109.1,F,
2013,June,ALL India,,,Consumer Food Price Index,110.6,115.7,112.4,F,
2013,July,ALL India,,,Consumer Food Price Index,113.3,118.6,115.2,F,
2013,August,ALL India,,,Consumer Food Price Index,115.3,120.9,117.3,F,
2013,September,ALL India,,,Consumer Food Price Index,118.4,120.2,119.0,F,
2013,October,ALL India,,,Consumer Food Price Index,120.7,122.1,121.1,F,
2013,November,ALL India,,,Consumer Food Price Index,123.6,124.4,123.9,F,
2013,December,ALL India,,,Consumer Food Price Index,119.1,118.0,118.7,F,
2014,January,ALL India,,,Consumer Food Price Index,115.9,114.9,115.6,F,
2014,February,ALL India,,,Consumer Food Price Index,115.1,114.4,114.8,F,
2014,March,ALL India,,,Consumer Food Price Index,116.0,115.3,115.7,F,
2014,April,ALL India,,,Consumer Food Price Index,117.2,117.9,117.4,F,
2014,May,ALL India,,,Consumer Food Price Index,118.2,119.9,118.8,F,
2014,June,ALL India,,,Consumer Food Price Index,119.5,122.2,120.5,F,
2014,July,ALL India,,,Consumer Food Price Index,123.8,128.3,125.4,F,
2014,August,ALL India,,,Consumer Food Price Index,126.0,130.3,127.5,F,
2014,September,ALL India,,,Consumer Food Price Index,125.9,127.4,126.4,F,
2014,October,ALL India,,,Consumer Food Price Index,125.5,126.2,125.8,F,
2014,November,ALL India,,,Consumer Food Price Index,125.2,125.5,125.3,F,
2014,December,ALL India,,,Consumer Food Price Index,123.3,123.6,123.4,F,
2015,January,ALL India,,,Consumer Food Price Index,122.6,123.0,122.7,F,
2015,February,ALL India,,,Consumer Food Price Index,122.5,123.0,122.7,F,
2015,March,ALL India,,,Consumer Food Price Index,122.7,123.1,122.8,F,
2015,April,ALL India,,,Consumer Food Price Index,123.1,124.0,123.4,F,
2015,May,ALL India,,,Consumer Food Price Index,123.8,125.7,124.5,F,
2015,June,ALL India,,,Consumer Food Price Index,126.2,128.6,127.1,F,
2015,July,ALL India,,,Consumer Food Price Index,127.2,129.6,128.1,F,
2015,August,ALL India,,,Consumer Food Price Index,129.8,131.4,130.3,F,
2015,September,ALL India,,,Consumer Food Price Index,131.0,131.8,131.3,F,
2015,October,ALL India,,,Consumer Food Price Index,132.0,133.1,132.4,F,
2015,November,ALL India,,,Consumer Food Price Index,132.4,133.7,132.9,F,
2015,December,ALL India,,,Consumer Food Price Index,131.2,131.4,131.3,F,
2016,January,ALL India,,,Consumer Food Price Index,131.1,131.0,131.1,F,
2016,February,ALL India,,,Consumer Food Price Index,129.8,128.2,129.2,F,
2016,March,ALL India,,,Consumer Food Price Index,129.8,128.0,129.2,F,
2016,April,ALL India,,,Consumer Food Price Index,131.3,131.4,131.3,F,
2016,May,ALL India,,,Consumer Food Price Index,133.3,134.8,133.8,F,
2016,June,ALL India,,,Consumer Food Price Index,135.9,139.1,137.0,F,
2016,July,ALL India,,,Consumer Food Price Index,137.6,141.0,138.8,F,
2016,August,ALL India,,,Consumer Food Price Index,138.0,138.1,138.0,F,
2016,September,ALL India,,,Consumer Food Price Index,136.9,135.6,136.5,F,
2016,October,ALL India,,,Consumer Food Price Index,137.1,136.2,136.8,F,
2016,November,ALL India,,,Consumer Food Price Index,136.1,134.7,135.6,F,
2016,December,ALL India,,,Consumer Food Price Index,133.9,131.6,133.1,F,
2017,January,ALL India,,,Consumer Food Price Index,132.6,130.6,131.9,F,
2017,February,ALL India,,,Consumer Food Price Index,132.5,130.6,131.8,F,
2017,March,ALL India,,,Consumer Food Price Index,132.2,131.1,131.8,F,
2017,April,ALL India,,,Consumer Food Price Index,132.2,132.0,132.1,F,
2017,May,ALL India,,,Consumer Food Price Index,132.5,132.3,132.4,F,
2017,June,ALL India,,,Consumer Food Price Index,133.7,134.7,134.1,F,
2017,July,ALL India,,,Consumer Food Price Index,137.7,139.6,138.3,F,
2017,August,ALL India,,,Consumer Food Price Index,139.9,140.4,140.1,F,
2017,September,ALL India,,,Consumer Food Price Index,138.7,137.3,138.2,F,
2017,October,ALL India,,,Consumer Food Price Index,139.5,139.1,139.4,F,
2017,November,ALL India,,,Consumer Food Price Index,141.6,141.3,141.5,F,
2017,December,ALL India,,,Consumer Food Price Index,140.7,137.8,139.7,F,
2018,January,ALL India,,,Consumer Food Price Index,139.3,135.9,138.1,F,
2018,February,ALL India,,,Consumer Food Price Index,137.4,133.8,136.1,F,
2018,March,ALL India,,,Consumer Food Price Index,137.1,132.7,135.5,F,
2018,April,ALL India,,,Consumer Food Price Index,137.0,133.7,135.8,F,
2018,May,ALL India,,,Consumer Food Price Index,137.5,134.5,136.5,F,
2018,June,ALL India,,,Consumer Food Price Index,138.6,136.8,138.0,F,
2018,July,ALL India,,,Consumer Food Price Index,140.7,139.1,140.1,F,
2018,August,ALL India,,,Consumer Food Price Index,141.5,138.7,140.5,F,
2018,September,ALL India,,,Consumer Food Price Index,139.9,137.0,138.9,F,
2018,October,ALL India,,,Consumer Food Price Index,138.6,137.5,138.2,F,
2018,November,ALL India,,,Consumer Food Price Index,138.2,137.0,137.8,F,
2018,December,ALL India,,,Consumer Food Price Index,136.5,135.2,136.0,F,
2019,January,ALL India,,,Consumer Food Price Index,135.2,134.7,135.0,F,
2019,February,ALL India,,,Consumer Food Price Index,135.0,135.5,135.1,F,
2019,March,ALL India,,,Consumer Food Price Index,135.1,137.3,135.9,F,
2019,April,ALL India,,,Consumer Food Price Index,135.9,139.9,137.3,F,
2019,May,ALL India,,,Consumer Food Price Index,137.2,142.4,139.0,F,
2019,June,ALL India,,,Consumer Food Price Index,139.2,144.5,141.1,F,
2019,July,ALL India,,,Consumer Food Price Index,141.5,146.9,143.4,F,
2019,August,ALL India,,,Consumer Food Price Index,142.7,148.5,144.7,F,
2019,September,ALL India,,,Consumer Food Price Index,144.4,149.0,146.0,F,
2019,October,ALL India,,,Consumer Food Price Index,147.5,151.9,149.1,F,
2019,November,ALL India,,,Consumer Food Price Index,150.4,153.8,151.6,F,
2019,December,ALL India,,,Consumer Food Price Index,154.3,157.0,155.3,F,
2020,January,ALL India,,,Consumer Food Price Index,152.8,154.6,153.4,F,
2020,February,ALL India,,,Consumer Food Price Index,149.0,151.1,149.7,F,
2020,March,ALL India,,,Consumer Food Price Index,147.1,149.1,147.8,F,
2020,April,ALL India,,,Consumer Food Price Index,152.1,155.7,153.4,F*,
2020,May,ALL India,,,Consumer Food Price Index,150.5,154.2,151.8,F,
2020,June,ALL India,,,Consumer Food Price Index,151.5,156.9,153.4,F,
2020,July,ALL India,,,Consumer Food Price Index,154.9,160.1,156.7,F,
2020,August,ALL India,,,Consumer Food Price Index,155.7,161.6,157.8,F,
2020,September,ALL India,,,Consumer Food Price Index,159.6,165.3,161.6,F,
2020,October,ALL India,,,Consumer Food Price Index,163.9,168.4,165.5,F,
